Outputs of Economic Evaluation: [Hospital V2]
NOTE: All bounds on uncertainties are given with a 95.0% confidence interval. The number of runs was determined with a 0.1% tolerance.
For Base (Alternative 0) 100.0 Monte-Carlo simulations were run.
For Alt 1 (Alternative 1) 12800.0 Monte-Carlo simulations were run.
For Alt 2 (Alternative 2) 1600.0 Monte-Carlo simulations were run.
The random number seed for these runs was 1477052174.
Number of Alternatives: 2
Planning Horizon: 100 years
Discount Rate: 8%
Disaster Rate: Every 50 years
Disaster Magnitude: 15% of build cost
Risk Preference: averse
Statistical Value of a Life: $7900000
,Base Case,Lower Bound,Upper Bound,Alternative 1,Lower Bound,Upper Bound,Alternative 2,Lower Bound,Upper Bound
,Base,,,Alt 1,,,Alt 2
Benefits
Disaster Economic Benefits
Response and Recovery Costs,$0.0,$0.0,$0.0,$4700332.427973959,$4088806.5862042424,$5308409.59888724,$4960378.482080402,$4296004.524977345,$5601988.345080821
Direct Loss Reduction,$0.0,$0.0,$0.0,$5851036.217394969,$5092844.043117809,$6609239.982825886,$7151266.487927185,$6233590.411281761,$8052550.036717547
Indirect Losses,$0.0,$0.0,$0.0,$65583614.84564495,$59351057.374446355,$71792858.39877981,$71044581.98188026,$64973504.5067778,$77217255.28267692
Disaster Non-Market Benefits
Value of Statistical Lives Saved,$0.0,$0.0,$0.0,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601
Number of Statistical Lives Saved,0.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0
Non-disaster Related Benefits
One-Time,$0,$0,$0,$-29739969.226257026,$-29739969.226257026,$-29739969.226257026,$-31123388.744323503,$-31123388.744323503,$-31123388.744323503
Recurring,$0,$0,$0,$300895589.4670254,$300895589.4670254,$300895589.4670254,$300253618.45536137,$300253618.45536137,$300253618.45536137
Costs
Direct Costs,$0,$0,$0,$60300000.0,$44019000.0,$108540000.0,$65670000.0,$58446300.0,$157608000.0
Indirect Costs,$0,$0,$0,$18090000.0,$13205700.0,$32562000.0,$19700000.0,$17533890.0,$47282400.0
OMR
One-Time,$0,$0,$0,$1452298.0741473818,$1234453.3630252746,$2178447.1112210727,$1452298.0741473818,$1234453.3630252746,$2178447.1112210727
Recurring,$0,$0,$0,$5768298.354805237,$4851031.70048344,$6699575.90637809,$5381227.597772475,$4813403.890840224,$5946656.138310927
Externalities
Positive
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$2867627.864602438,$2867627.864602438,$2867627.864602438
Negative
One-Time,$0,$0,$0,$2904596.1482947636,$2904596.1482947636,$2904596.1482947636,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total: Present Expected Value
Benefits,$0.0,$0.0,$0.0,$429465156.82941824,$423141439.47185016,$435784202.68639004,$434461009.7605617,$428191013.204939,$440777809.99474967
Costs,$0,$0,$0,$85610596.42895262,$64382724.30400401,$148533262.92607194,$92203525.67191987,$82828180.40065762,$212018133.23277098
Net,$0.0,$0.0,$0.0,$343854560.4004656,$280031893.4184015,$366715352.56120807,$342257484.0886418,$220186731.2041441,$354642078.97136617
Net with Externalities,$0.0,$0.0,$0.0,$340949964.25217086,$277127297.27010673,$363810756.4129133,$345125111.95324427,$223054359.06874654,$357509706.8359686
Savings-to-Investment Ratio,0,0,0,4.386459502493502,1.9846061247778308,6.400774176299536,4.009107228401567,1.0746561635105603,4.617776924890066
Internal Rate of Return (%),---,---,---,26.1749267578125,17.8985595703125,31.7840576171875,25.0823974609375,13.9312744140625,26.9317626953125
Return on Investment (%),0,0,0,5.01649532585405,2.887091430826509,6.676330156964999,4.711978274089736,2.0396903448551345,5.234953495073647
Non-Disaster ROI (%),0,0,0,3.1673137619803606,1.8255606577370993,4.211695573434525,2.9188713528012102,1.2694334748941722,3.249313008203662
