Outputs of Economic Evaluation: [Riverbend v2]
NOTE: All bounds on uncertainties are given with a 95.0% confidence interval. The number of runs was determined with a 0.1% tolerance.
For Base (Alternative 0) 1000 Monte-Carlo simulations were run.
For Retrofit (Alternative 1) 4000 Monte-Carlo simulations were run.
For New Bridge (Alternative 2) 3000 Monte-Carlo simulations were run.
The random number seed for these runs was 2091229296.
Number of Alternatives: 2
Planning Horizon: 50.0 years
Discount Rate: 3.0%
Disaster Rate: Every 25 years
Disaster Magnitude: 6.25% of build cost
Risk Preference: neutral
Statistical Value of a Life: $7500000
,Base Case,Lower Bound,Upper Bound,Alternative 1,Lower Bound,Upper Bound,Alternative 2,Lower Bound,Upper Bound
,Base,,,Retrofit,,,New Bridge
Benefits
Disaster Economic Benefits
Response and Recovery Costs,$0.0,$0.0,$0.0,$630864.9214506977,$269782.1716363329,$1005779.7945871021,$1051441.5357511628,$455920.87307320256,$1682490.2835179283
Direct Loss Reduction,$0.0,$0.0,$0.0,$273374.79929530236,$273374.79929530236,$273374.79929530236,$0.0,$0.0,$0.0
Indirect Losses,$0.0,$0.0,$0.0,$2102883.0715023256,$869999.0959132289,$3323111.7845381815,$3680045.37512907,$1501819.8315378826,$5846126.060121542
Disaster Non-Market Benefits
Value of Statistical Lives Saved,$0.0,$0.0,$0.0,$788581.1518133722,$788581.1518133722,$788581.1518133722,$1577162.3036267443,$1577162.3036267443,$1577162.3036267443
Number of Statistical Lives Saved,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.4
Non-disaster Related Benefits
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$2550916.855392753,$1934449.817650996,$2830278.605906022
Costs
Direct Costs,$0,$0,$0,$3000000.0,$2909817.9008866292,$3690178.686710784,$6750000.0,$6661688.676698878,$7903591.19932537
Indirect Costs,$0,$0,$0,$500000.0,$488623.29420591524,$709816.081565936,$295000.0,$291302.24207540764,$344859.6929048563
OMR
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$732368.2291832594,$648706.079708514,$859477.590926917
Externalities
Positive
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$3984761.7106404635,$3984761.7106404635,$3984761.7106404635
Negative
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total: Present Expected Value
Benefits,$0.0,$0.0,$0.0,$3795703.944061698,$2522484.7079401365,$5083893.51381008,$8859566.06989973,$6420456.488299065,$11022828.673111284
Costs,$0,$0,$0,$3500000.0,$3453017.224250754,$4289858.760603995,$7777368.229183259,$7714994.688105041,$8990928.259520149
Net,$0.0,$0.0,$0.0,$295703.9440616979,$-1407554.6295705773,$1356009.3866250813,$1082197.840716471,$-1980764.71353239,$2850108.164374997
Net with Externalities,$0.0,$0.0,$0.0,$295703.9440616979,$-1407554.6295705773,$1356009.3866250813,$5066959.551356935,$2003996.997108074,$6834869.875015461
Savings-to-Investment Ratio,0,0,0,0.08448684116048512,-0.3517822960833495,0.37021191442698054,0.15361218462973328,-0.25665765511436756,0.38548552733121677
Internal Rate of Return (%),---,---,---,3.4515380859375,0.8880615234375,4.8736572265625,3.7933349609375,1.5289306640625,4.9224853515625
Return on Investment (%),0,0,0,2.16897368232097,1.2964354078333014,2.740423828853961,2.2782940986787037,1.534537433479968,2.700164770391393
Non-Disaster ROI (%),0,0,0,0,0,0,0.6559845902167443,0.46229344813147716,0.7024266939935312
