Outputs of Economic Evaluation: [Hospital V2]
NOTE: All bounds on uncertainties are given with a 95.0% confidence interval. The number of runs was determined with a 0.1% tolerance.
For Base (Alternative 0) 100 Monte-Carlo simulations were run.
For Alt 1 (Alternative 1) 800 Monte-Carlo simulations were run.
For Alt 2 (Alternative 2) 1000 Monte-Carlo simulations were run.
The random number seed for these runs was 188365072.
Number of Alternatives: 2
Planning Horizon: 100 years
Discount Rate: 8%
Disaster Rate: Every 50 years
Disaster Magnitude: 15% of build cost
Risk Preference: averse
Statistical Value of a Life: $7900000
,Base Case,Lower Bound,Upper Bound,Alternative 1,Lower Bound,Upper Bound,Alternative 2,Lower Bound,Upper Bound
,Base,,,Alt 1,,,Alt 2
Benefits
Disaster Economic Benefits
Response and Recovery Costs,$0.0,$0.0,$0.0,$4700332.427973959,$4088035.7401723275,$5313803.910436895,$4960378.482080402,$4285877.220339988,$5587151.147360134
Direct Loss Reduction,$0.0,$0.0,$0.0,$5851036.217394969,$5087957.659327454,$6600130.691659027,$7151266.487927185,$6207895.808334257,$8089121.299670759
Indirect Losses,$0.0,$0.0,$0.0,$65583614.84564495,$59336316.73662861,$71743577.21081606,$71044581.98188026,$64905002.07917504,$77200503.12568448
Disaster Non-Market Benefits
Value of Statistical Lives Saved,$0.0,$0.0,$0.0,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601
Number of Statistical Lives Saved,0.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0
Non-disaster Related Benefits
One-Time,$0,$0,$0,$-29739969.226257026,$-29739969.226257026,$-29739969.226257026,$-31123388.744323503,$-31123388.744323503,$-31123388.744323503
Recurring,$0,$0,$0,$300895589.4670254,$300895589.4670254,$300895589.4670254,$300253618.45536137,$300253618.45536137,$300253618.45536137
Costs
Direct Costs,$0,$0,$0,$60300000.0,$44019000.0,$108540000.0,$65670000.0,$58446300.0,$157608000.0
Indirect Costs,$0,$0,$0,$18090000.0,$13205700.0,$32562000.0,$19700000.0,$17533890.0,$47282400.0
OMR
One-Time,$0,$0,$0,$1452298.0741473818,$1234453.3630252746,$2178447.1112210727,$1452298.0741473818,$1234453.3630252746,$2178447.1112210727
Recurring,$0,$0,$0,$5768298.354805237,$4881501.92421934,$6677043.951932554,$5381227.597772475,$4814561.645308613,$5910528.1827563355
Externalities
Positive
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$2867627.864602438,$2867627.864602438,$2867627.864602438
Negative
One-Time,$0,$0,$0,$2904596.1482947636,$2904596.1482947636,$2904596.1482947636,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total: Present Expected Value
Benefits,$0.0,$0.0,$0.0,$429465156.82941824,$423001341.3727781,$435734114.43370986,$434461009.7605617,$428157599.9449863,$440763663.21348536
Costs,$0,$0,$0,$85610596.42895262,$64567694.10485692,$148487767.61936176,$92203525.67191987,$82726279.10211885,$211878818.89883634
Net,$0.0,$0.0,$0.0,$343854560.4004656,$281021474.53997386,$365896916.30894464,$342257484.0886418,$222426227.2328123,$355344471.91690576
Net with Externalities,$0.0,$0.0,$0.0,$340949964.25217086,$278116878.3916791,$362992320.1606499,$345125111.95324427,$225293855.09741473,$358212099.7815082
Savings-to-Investment Ratio,0,0,0,4.386459502493502,1.9916193572024057,6.355559251418358,4.009107228401567,1.085586378048031,4.66695886877594
Internal Rate of Return (%),---,---,---,26.1749267578125,17.9534912109375,31.5582275390625,25.0823974609375,13.9923095703125,27.1697998046875
Return on Investment (%),0,0,0,5.01649532585405,2.895823468593794,6.6541362646455635,4.711978274089736,2.048981633843273,5.264959645067613
Non-Disaster ROI (%),0,0,0,3.1673137619803606,1.8262643039097544,4.205233013847831,2.9188713528012102,1.2704003888218496,3.2556541405436774
