Outputs of Economic Evaluation: [Riverbend v2]
NOTE: All bounds on uncertainties are given with a 95.0% confidence interval. The number of runs was determined with a 0.1% tolerance.
For Base (Alternative 0) 1000 Monte-Carlo simulations were run.
For Retrofit (Alternative 1) 22000 Monte-Carlo simulations were run.
For New Bridge (Alternative 2) 6000 Monte-Carlo simulations were run.
The random number seed for these runs was 2623776079.
Number of Alternatives: 2
Planning Horizon: 50 years
Discount Rate: 3.0%
Disaster Rate: Every 25 years
Disaster Magnitude: 6.25% of build cost
Risk Preference: neutral
Statistical Value of a Life: $7500000
,Base Case,Lower Bound,Upper Bound,Alternative 1,Lower Bound,Upper Bound,Alternative 2,Lower Bound,Upper Bound
,Base,,,Retrofit,,,New Bridge
Benefits
Disaster Economic Benefits
Response and Recovery Costs,$0.0,$0.0,$0.0,$630864.9214506977,$258663.68713964344,$1002077.8067705906,$1051441.5357511628,$434654.81929158303,$1677538.5439806439
Direct Loss Reduction,$0.0,$0.0,$0.0,$273374.79929530236,$273374.79929530236,$273374.79929530236,$0.0,$0.0,$0.0
Indirect Losses,$0.0,$0.0,$0.0,$2102883.0715023256,$863435.544674961,$3344004.165994477,$3680045.37512907,$1537903.0286465639,$5832036.780674239
Disaster Non-Market Benefits
Value of Statistical Lives Saved,$0.0,$0.0,$0.0,$788581.1518133722,$788581.1518133722,$788581.1518133722,$1577162.3036267443,$1577162.3036267443,$1577162.3036267443
Number of Statistical Lives Saved,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.4
Non-disaster Related Benefits
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$2550916.855392753,$1940434.2995904014,$2823840.7832794194
Costs
Direct Costs,$0,$0,$0,$3000000.0,$2911232.453307706,$3701154.0744392225,$6750000.0,$6662526.653617859,$7885374.802075087
Indirect Costs,$0,$0,$0,$500000.0,$487973.6083427159,$709091.2469172515,$295000.0,$291160.80551123,$344510.48240334087
OMR
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$732368.2291832594,$649408.2988398273,$858614.3440723915
Externalities
Positive
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$3984761.7106404635,$3984761.7106404635,$3984761.7106404635
Negative
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total: Present Expected Value
Benefits,$0.0,$0.0,$0.0,$3795703.944061698,$2498408.5167162977,$5084240.304063078,$8859566.06989973,$6452781.02709378,$11059248.386609547
Costs,$0,$0,$0,$3500000.0,$3455303.883917375,$4286586.128439829,$7777368.229183259,$7706148.92102971,$8961172.157696528
Externalities,$0,$0,$0,$0,$0,$0,$3984761.7106404635,$3984761.7106404635,$3984761.7106404635
Net with Externalities,$0.0,$0.0,$0.0,$295703.9440616979,$-1399155.0527547696,$1362232.4747412796,$5066959.551356935,$2040237.542874137,$6877763.708338886
Benefit-to-Cost Ratio,No Valid BCR,No Valid BCR,No Valid BCR,0.08448684116048512,-0.35519351456115916,0.3751439820499911,0.15361218462973328,-0.25263601526936985,0.3932496899479141
Internal Rate of Return with Externalities (%),---,---,---,3.4515380859375,0.8636474609375,4.8980712890625,6.3690185546875,4.3121337890625,7.3455810546875
Return on Investment with Externalities (%),No Valid ROI,No Valid ROI,No Valid ROI,2.16897368232097,1.2896129708776816,2.750287964099982,3.3030010672103773,2.479173656532793,3.7108067995398195
Non-Disaster ROI with Externalities (%),No Valid ROI,No Valid ROI,No Valid ROI,0.0,0.0,0.0,1.6806915587484175,1.380519468749574,1.7156711134016536
Net,$0.0,$0.0,$0.0,$295703.9440616979,$-1399155.0527547696,$1362232.4747412796,$1082197.840716471,$-1944524.167766327,$2893001.9976984216
Benefit-to-Cost Ratio,No Valid BCR,No Valid BCR,No Valid BCR,0.08448684116048512,-0.35519351456115916,0.3751439820499911,0.15361218462973328,-0.25263601526936985,0.3932496899479141
Internal Rate of Return (%),---,---,---,3.4515380859375,0.8636474609375,4.8980712890625,3.7933349609375,1.5533447265625,4.9652099609375
Return on Investment (%),No Valid ROI,No Valid ROI,No Valid ROI,2.16897368232097,1.2896129708776816,2.750287964099982,2.2782940986787037,1.5395668084460972,2.7157179234278996
Non-Disaster ROI (%),No Valid ROI,No Valid ROI,No Valid ROI,0.0,0.0,0.0,0.6559845902167443,0.4607660942087181,0.7005313064148101
