Outputs of Economic Evaluation: [Hospital V2]
NOTE: All bounds on uncertainties are given with a 95.0% confidence interval. The number of runs was determined with a 0.1% tolerance.
For Base (Alternative 0) 51200.0 Monte-Carlo simulations were run.
For Alt 1 (Alternative 1) 51200.0 Monte-Carlo simulations were run.
For Alt 2 (Alternative 2) 51200.0 Monte-Carlo simulations were run.
The random number seed for these runs was 1565364977.
,Base Case,Lower Bound,Upper Bound,Alternative 1,Lower Bound,Upper Bound,Alternative 2,Lower Bound,Upper Bound
,Base,,,Alt 1,,,Alt 2
Benefits
Disaster Economic Benefits
Response and Recovery Costs,$0.0,$0.0,$0.0,$4700332.427973959,$4083251.4223182555,$5315212.062277527,$4960378.482080402,$4315395.026911882,$5609483.56372193
Direct Loss Reduction,$0.0,$0.0,$0.0,$5851036.217394969,$5093671.091314536,$6607483.660515699,$7151266.487927185,$6220821.175675314,$8073593.540758822
Indirect Losses,$0.0,$0.0,$0.0,$65583614.84564495,$59365841.171569176,$71808510.85867396,$71044581.98188026,$64895061.78270041,$77194477.41806851
Disaster Non-Market Benefits
Value of Statistical Lives Saved,$0.0,$0.0,$0.0,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601,$82174553.09763601
Number of Statistical Lives Saved,0.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0
Non-disaster Related Benefits
One-Time,$0,$0,$0,$-29739969.226257026,$-29739969.226257026,$-29739969.226257026,$-31123388.744323503,$-31123388.744323503,$-31123388.744323503
Recurring,$0,$0,$0,$300895589.4670254,$300895589.4670254,$300895589.4670254,$300253618.45536137,$300253618.45536137,$300253618.45536137
Costs
Direct Costs,$0,$0,$0,$60300000.0,$44019000.0,$108540000.0,$65670000.0,$58446300.0,$157608000.0
Indirect Costs,$0,$0,$0,$18090000.0,$13205700.0,$32562000.0,$19700000.0,$17533890.0,$47282400.0
OMR
One-Time,$0,$0,$0,$1452298.0741473818,$1234453.3630252746,$2178447.1112210727,$1452298.0741473818,$1234453.3630252746,$2178447.1112210727
Recurring,$0,$0,$0,$5768298.354805237,$4852097.135930487,$6685665.477658874,$5381227.597772475,$4829554.346327496,$5936536.246224058
Externalities
Positive
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$2867627.864602438,$2867627.864602438,$2867627.864602438
Negative
One-Time,$0,$0,$0,$0,$0,$0,$0,$0,$0
Recurring,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total: Present Expected Value
Benefits,$0.0,$0.0,$0.0,$429465156.82941824,$423134887.95709103,$435812720.08369434,$434461009.7605617,$428130241.2319317,$440784219.5314816
Costs,$0,$0,$0,$85610596.42895262,$64402658.008383095,$148563375.4089481,$92203525.67191987,$82770267.3183244,$211879181.3688879
Net,$0.0,$0.0,$0.0,$343854560.4004656,$279741716.9869932,$366753555.85950685,$342257484.0886418,$221267321.94255915,$354850982.86468995
Net with Externalities,$0.0,$0.0,$0.0,$343854560.4004656,$279741716.9869932,$366753555.85950685,$345125111.95324427,$224134949.8071616,$357718610.7292924
Savings-to-Investment Ratio,0,,,4.386459502493502,,,4.009107228401567,,
Internal Rate of Return (%),---,,,26.1749267578125,,,25.0823974609375,,
Return on Investment (%),0,,,5.01649532585405,,,4.711978274089736,,
Non-Disaster ROI (%),0,,,3.1673137619803606,,,2.9188713528012102,,
